name,height,lat,lon
91355,3.0,5.36,162.96
91356,3.0,5.36,162.96
91365,3.0,8.93,165.75
91374,3.0,8.7,171.2
91377,3.0,6.1,172.1
91411,3.0,8.3,137.5
91442,3.0,4.6,168.7
aamc1,6.9,37.772,-122.3
aban6,11.0,44.333,-75.933
acfs1,11.0,32.636,-80.366
acmn4,15.0,39.38,-74.42
acqs1,15.0,32.523,-80.357
acxs1,4.57,32.559,-80.454
acyn4,4.57,39.357,-74.418
adka2,7.0,51.861,-176.637
agcm4,7.0,42.621,-82.527
agmw3,9.0,44.608,-87.433
agxc1,20.0,33.716,-118.246
alia2,10.3,56.898,-154.247
alrf1,47.5,24.9,-80.6
alsn6,29.0,40.45,-73.8
alxn6,29.0,44.331,-75.934
amaa2,15.7,58.915,-151.952
amrl1,11.0,29.45,-91.338
ancf1,11.0,28.193,-82.789
anmf1,10.8,27.538,-82.739
anmn6,11.89,42.018,-73.917
anpt2,3.96,27.837,-97.039
anrn6,3.96,42.027,-73.926
anta2,6.9,61.238,-149.89
anvc1,7.6,38.915,-123.711
apam2,7.6,38.983,-76.479
apcf1,7.0,29.724,-84.98
apnm4,18.0,45.06,-83.424
apqf1,18.0,29.786,-84.875
aprp7,8.4,13.444,144.657
apxf1,5.0,29.791,-84.883
arop4,6.4,18.48,-66.702
